T: Gene names,LFQ intensity BZ1,LFQ intensity BZ10,LFQ intensity BZ11,LFQ intensity BZ12,LFQ intensity BZ13,LFQ intensity BZ14,LFQ intensity BZ15,LFQ intensity BZ16,LFQ intensity BZ17,LFQ intensity BZ18,LFQ intensity BZ19,LFQ intensity BZ2,LFQ intensity BZ20,LFQ intensity BZ21,LFQ intensity BZ22,LFQ intensity BZ23,LFQ intensity BZ24,LFQ intensity BZ25,LFQ intensity BZ26,LFQ intensity BZ27,LFQ intensity BZ28,LFQ intensity BZ29,LFQ intensity BZ3,LFQ intensity BZ30,LFQ intensity BZ31,LFQ intensity BZ32,LFQ intensity BZ33,LFQ intensity BZ34,LFQ intensity BZ35,LFQ intensity BZ36,LFQ intensity BZ37,LFQ intensity BZ38,LFQ intensity BZ39,LFQ intensity BZ4,LFQ intensity BZ40,LFQ intensity BZ41,LFQ intensity BZ42,LFQ intensity BZ43,LFQ intensity BZ44,LFQ intensity BZ45,LFQ intensity BZ46,LFQ intensity BZ47,LFQ intensity BZ48,LFQ intensity BZ49,LFQ intensity BZ5,LFQ intensity BZ50,LFQ intensity BZ51,LFQ intensity BZ52,LFQ intensity BZ53,LFQ intensity BZ54,LFQ intensity BZ55,LFQ intensity BZ56,LFQ intensity BZ57,LFQ intensity BZ58,LFQ intensity BZ59,LFQ intensity BZ6,LFQ intensity BZ60,LFQ intensity BZ7,LFQ intensity BZ8,LFQ intensity BZ9
LINC00493,0,0,0,0,0,0,0,0,0,0,0,16374000,0,0,0,0,0,0,0,0,0,0,1692100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,7260200,11942000,17346000,16551000,13324000,18207000,20160000,15844000,28719000,18953000,0,36147000,22428000,58081000,44192000,87360000,78450000,70946000,38552000,116250000,36145000,39614000,106160000,29291000,34776000,20486000,8600400,7799800,0,0,0,0,49781000,0,0,0,0,0,0,0,0,0,0,16259000,0,0,0,0,0,0,0,0,0,0,6464600,0,11459000,6748100,13986000
PIGBOS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA6,0,1662600,0,0,1874100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462500
ESYT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6884800,9894900,15429000,17866000,20062000,13759000,11252000,10671000,318570,4023000,11424000,13944000,29073000,26271000,32691000,33197000,25590000,25244000,23267000,0,18722000,13869000,12170000,9609400,6308000,11295000,12024000,6070500,3308300,14296000,0,9552800,12542000,11750000,6614500,4384700,6961100,0,0,0,0,0,0,0,0,0
TMEM223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463400,0,0,0,0,0,0,0,0,0,0,5528200,0,4141500,0,0
ILVBL,0,488780,0,1199500,3868100,9579400,16178000,11481000,8554500,5731600,2682300,0,2239400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17orf89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3PXD2B,0,1706000,2048300,1607300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950300,0,20843000,35568000,49229000,19497000,1180300,5568800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC144B;CCDC144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWA8,0,0,0,0,0,0,451450,0,0,439410,477030,0,9364500,29433000,13303000,14611000,6592700,1872800,1545700,844080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774200,0,0,0,0,0,0,0,0,0,0,2073700,0,0,0,0,0,0,0,0,0,0,582610,0,0,0,0,0,0,0,0,0,0,1006200,0,599490,0,0
TMEM189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP1LC3B2;MAP1LC3B;MAP1LC3A,0,2059700,0,3497800,3619900,2586100,4798800,4591400,5314000,0,0,6775500,0,0,0,0,0,0,0,0,0,7363800,10052000,0,0,0,0,0,0,0,0,0,0,26880000,0,0,0,0,0,0,0,0,0,0,3806100,0,0,0,0,0,0,0,0,0,0,2821100,0,3224700,2668400,0
METTL15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYRM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEBPZOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1324L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8079600,13355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18618000,0,0,0,0,0,0,0,0,0,0,20768000,0,0,0,0,0,0,0,0,0,0,17398000,0,0,0,0,0,0,0,0,0,0,9653700,0,6410400,0,0
EIF3C;EIF3CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444830,4698000,14169000,20985000,31713000,32755000,22059000,3178600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR89B;GPR89A,0,3156900,4167000,6920000,3730500,0,1999200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH3P;WASH2P;WASH6P;WASH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780600,13104000,16779000,0,12016000,0,8045400,8784100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACA,0,11184000,9574800,12641000,5533200,2760800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211200,0,0,4992900,12827000
C11orf98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35A4,0,16262000,16722000,19328000,22107000,20281000,22332000,16497000,14018000,16222000,14929000,0,18627000,18084000,11195000,11651000,0,4967800,0,0,0,3287100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20437000,0,0,0,0,0,0,0,0,0,0,47570000,0,58107000,26781000,12926000
SMCR7L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPS,0,1065900,1608100,2716500,1230400,0,0,0,0,1185300,0,0,0,0,0,0,0,0,0,0,0,0,2150200,0,0,0,0,0,0,0,0,0,0,14563000,0,0,0,0,0,0,0,0,0,0,3286200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318100
TK2,0,1845800,1346700,0,0,1256000,0,2167100,2133000,2470100,0,0,0,0,0,0,0,0,0,0,0,0,13743000,0,0,0,0,0,0,0,0,0,0,14666000,0,0,0,0,0,0,0,0,0,0,4655500,0,0,0,0,0,0,0,0,0,0,2605200,0,746420,0,1475500
PDLIM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280800,0,0,0,0,0,0,0,0,0,0,3847900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,0,0,4608700,8716800,4247200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9052600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO1C,0,0,448120,10901000,17177000,18721000,17355000,15399000,20923000,22731000,18097000,0,17080000,17870000,8438000,7384200,6611600,973310,554890,788910,0,2007700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAP23,0,1924100,3888800,10178000,13235000,4927200,3070000,2059500,0,1706800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10898000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP3,0,3592800,1844800,1710700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14606000,0,0,0,0,0,0,0,0,0,0,18071000,0,0,0,0,0,0,0,0,0,0,5950700,0,3422500,3367100,2498100
RAB27B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3390500,0,0,0,0,0,0,0,0,0,0,4035700,0,3706000,0,0
AP3B1,0,0,0,0,0,0,0,0,0,0,1765200,0,3656200,5057100,2551600,2793800,0,0,0,0,0,2762400,0,3586400,6810800,21202000,39216000,27074000,2893100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFS8,0,1830000,0,0,0,984300,4739400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628000,0,0,0,0,0,0,0,7402500,0,0,0,0,12517000,13754000,59660000,170910000,307100000,255320000,155830000,97885000,32943000,0,0,0,0,0,21399000,0,0,0,0,0,0,0,0,0,0
PSMD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5253900,12860000,0,1771300,286760,0,0,0,0,0,767100,1165300,0,0,3593900,16277000,36009000,56541000,42650000,20922000,1888900,0,1224200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15282000,57310000,24072000,2246700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC1,0,21843000,42947000,33203000,38043000,28888000,28929000,36069000,27512000,22535000,18968000,44378000,10913000,14294000,11813000,10577000,11027000,10847000,5801900,16187000,17960000,20478000,198620000,16897000,17271000,22614000,17266000,13125000,10312000,11134000,15158000,11616000,15606000,124370000,12798000,9635000,0,0,5958500,0,8235500,8353300,12252000,10145000,96193000,15826000,13679000,15723000,14701000,15039000,22789000,19217000,17351000,25738000,14126000,91013000,0,39019000,14852000,27110000
DFFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453300,0,0,0,0,0,0,0,0,0,0,1566200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197400,12076000,14356000,10398000,5405400,0,1867500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIC1,0,0,0,0,0,0,0,0,0,0,0,1029900,0,0,0,0,0,0,0,0,0,0,47518000,0,0,0,0,0,0,0,0,0,0,1878200,0,0,0,0,0,0,0,0,0,0,520360,0,0,0,0,0,0,0,0,0,0,0,0,512030,682620,0
