T: Gene names,LFQ intensity CZ1,LFQ intensity CZ2,LFQ intensity CZ3,LFQ intensity CZ4,LFQ intensity CZ5,LFQ intensity CZ6,LFQ intensity CZ7,LFQ intensity CZ8,LFQ intensity CZ9,LFQ intensity CZ10,LFQ intensity CZ11,LFQ intensity CZ12,LFQ intensity CZ13,LFQ intensity CZ14,LFQ intensity CZ15,LFQ intensity CZ16,LFQ intensity CZ17,LFQ intensity CZ18,LFQ intensity CZ19,LFQ intensity CZ20,LFQ intensity CZ21,LFQ intensity CZ22,LFQ intensity CZ23,LFQ intensity CZ24,LFQ intensity CZ25,LFQ intensity CZ26,LFQ intensity CZ27,LFQ intensity CZ28,LFQ intensity CZ29,LFQ intensity CZ30,LFQ intensity CZ31,LFQ intensity CZ32,LFQ intensity CZ33,LFQ intensity CZ34,LFQ intensity CZ35,LFQ intensity CZ36,LFQ intensity CZ37,LFQ intensity CZ38,LFQ intensity CZ39,LFQ intensity CZ40,LFQ intensity CZ41,LFQ intensity CZ42,LFQ intensity CZ43,LFQ intensity CZ44,LFQ intensity CZ45,LFQ intensity CZ46,LFQ intensity CZ47,LFQ intensity CZ48,LFQ intensity CZ49,LFQ intensity CZ50,LFQ intensity CZ51,LFQ intensity CZ52,LFQ intensity CZ53,LFQ intensity CZ54,LFQ intensity CZ55,LFQ intensity CZ56,LFQ intensity CZ57,LFQ intensity CZ58,LFQ intensity CZ59,LFQ intensity CZ60
LINC00493,0,2685200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,17770000,61271000,42576000,23096000,16106000,10208000,10854000,12859000,9082200,10275000,4789000,7779000,12381000,17989000,31821000,25483000,39863000,41938000,46810000,49026000,112480000,78813000,66073000,122770000,148280000,162520000,125900000,149090000,78533000,85278000,36659000,19552000,14588000,7755500,6179700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIGBOS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,2147200,6666500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA6,0,0,0,0,0,0,0,0,0,2951900,0,2371300,2808200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESYT2,0,365420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580300,8436500,13172000,21639000,24519000,25865000,23763000,25043000,22071000,20842000,16293000,25877000,40332000,48995000,59017000,61218000,64291000,49378000,47712000,41617000,26177000,27569000,21411000,19938000,19220000,18620000,30255000,23765000,29176000,29587000,27124000,26860000,19677000,26045000,27899000,0,0,0,0
TMEM223,0,0,0,0,2931200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILVBL,0,0,0,0,0,0,0,0,0,0,1661700,4753100,13145000,5352400,3984300,4643800,1119700,1057400,2537200,0,1448600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17orf89,0,0,3313700,3041600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3PXD2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12050000,4779400,36499000,13602000,1139700,643210,0,1144300,0,0,0,0,0,0,0,0,0,0,0,0
CCDC144B;CCDC144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900200,14110000,8713600,3709500,1803400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP10,0,0,9043100,2706300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP1LC3B2;MAP1LC3B;MAP1LC3A,0,4621700,7608100,4587600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METTL15,0,669180,5907000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYRM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEBPZOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1324L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473300,17252000,5885400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT19,0,8324800,28981000,22525000,24708000,16733000,5739300,1001800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3C;EIF3CL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579900,6723300,10202000,20719000,46980000,30787000,8653500,3400900,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR89B;GPR89A,0,0,0,0,0,0,0,2456800,3722100,0,3425900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH3P;WASH2P;WASH6P;WASH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6738200,10213000,0,0,9232600,0,6582500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACA,0,0,0,0,0,0,0,3922700,6383400,9896600,12071000,6416700,4631700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11orf98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35A4,0,0,0,0,9206300,47708000,29904000,10700000,7103700,14931000,15855000,11118000,20859000,8286600,6700600,10468000,0,11852000,0,0,0,0,0,0,0,0,0,0,0,3253000,0,0,0,0,0,3163900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMCR7L,0,7353700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPS,0,0,8557900,10891000,4013700,956560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TK2,0,0,40798000,18532000,3042400,2862600,0,2008800,0,3301100,0,3106900,3110000,4136500,4945400,4427300,3449700,0,3242600,2773200,4066200,2793800,0,5025200,10239000,3521500,0,6318300,4289000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDLIM1,0,3120400,11052000,5187600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,5146800,9314800,0,0,0,0,0,0,5370700,6364800,9341900,8227700,4319300,0,1427500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYO1C,0,0,0,0,0,0,0,0,0,0,5431700,12174000,18657000,13157000,17986000,18796000,25241000,23767000,19997000,17753000,15459000,15645000,3271300,4160700,1909100,709170,0,0,1912900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAP23,0,0,0,0,0,0,0,0,1968100,8305100,8277000,2580000,2557700,0,0,0,1591800,0,872850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAX1,0,16043000,4900700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIP,0,4729200,1098200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP3,0,0,0,10515000,15842000,8013300,2351500,2545200,1978000,961780,1807300,0,701170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB27B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP3B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879200,0,1181400,0,0,0,0,0,0,0,0,9571900,25683000,21424000,4740000,2293800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFS8,0,1278100,0,0,0,0,0,0,0,0,0,0,2649400,7243900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972700,0,0,29315000,122630000,295210000,248980000,171510000,140420000,77298000,55935000,27868000,17755000,0,0,19773000,26763000,0,0,0,0
PSMD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8150600,4521900,0,0,0,0,0,0,0,3637300,1168600,3542500,8100500,22560000,68660000,97442000,47620000,15898000,1942500,13424000,0,0,0,0,0,0,0,0,0,0,0,0
PSMD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3407000,3235600,0,0,0,0,0,0,0,0,0,0,0,0,41192000,52032000,33654000,11149000,0,2740100,0,0,0,0,0,0,0,0,0,0,0,0
PSMD9,0,1033200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC1,0,187100000,143720000,127360000,100530000,53124000,32980000,32476000,67219000,43129000,33858000,25826000,35247000,49787000,26872000,28526000,16864000,12274000,9046200,12026000,15317000,14682000,9794300,10244000,10907000,10559000,11783000,12913000,16140000,11897000,12732000,21019000,22568000,21942000,12222000,12356000,10138000,12087000,13933000,0,13562000,9465400,0,0,0,11645000,10333000,13384000,17922000,17214000,12308000,23633000,21144000,28466000,24189000,25083000,20107000,14589000,0,12329000
DFFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847400,39616000,39376000,40396000,25121000,32136000,23312000,15574000,4922000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIC1,0,42498000,22411000,757240,0,0,0,571150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18918000,18737000,10582000,5233700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHX,0,0,1115000,5692200,3850800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC33A1,0,0,0,0,0,0,0,2451700,9163700,6545100,2199000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPO5,0,0,0,0,0,0,0,0,0,0,0,0,8802500,16989000,48978000,74662000,60640000,76663000,31780000,53256000,24099000,14636000,4033700,7548100,5885700,4349200,1537800,1756000,1979100,705910,0,0,0,241270,1068200,1398500,0,0,263060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4603200,2567000,0,4801700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLIM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4383400,24845000,7304400,14497000,18398000,22400000,28884000,48058000,24905000,20007000,15689000,10245000,14815000,0,0,0,0,0
EXOC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2738700,3507000,7727800,10224000,12358000,14991000,13228000,12693000,8720700,7493300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
